game;elements;description;link;Action;Aventure;RPG;Plate-Forme;FPS;Course;Strategie;Sport;Reflexion;Combat;Simulation;Point'n Click;Infiltration;Gestion;Action RPG;Beat'em All;Survival-Horror;Rythme;Autres;Puzzle-Game;Shoot'em Up;Tactique;Shooter;MMO;MMORPG;Tactical RPG;Creation;TPS;Tir;Adresse;Sandbox;Roguelike;Survie;Open World;Wargame;Hack'n slash;Jeu de cartes;Runner;Dungeon RPG;4X;God Game;Visual Novel;MOBA;Tower Defense;Battle Royale;Ludo-Educatif;Simulation de vie;MMOFPS;City Builder;Jeu de societe;Management
God of War sur PS4;"[""Beat'em All""]";Dans ce nouvel épisode de God Of War, le héros évoluera dans un monde aux inspirations nordiques, très forestier et montagneux. Dans ce beat-them-all, un enfant accompagnera le héros principal, pouvant apprendre des actions du joueur, et même gagner de l'expérience.;http://www.jeuxvideo.com/jeux/ps4/jeu-410395/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Legend of Zelda : Breath of the Wild;['Action', 'Aventure', 'RPG'];The Legend of Zelda : Breath of the Wild est un jeu d'action/aventure. Link se réveille d'un sommeil de 100 ans dans un royaume d'Hyrule dévasté. Il lui faudra percer les mystères du passé et vaincre Ganon, le fléau. L'aventure prend place dans un gigantesque monde ouvert et accorde ainsi une part importante à l'exploration. Le titre a été pensé pour que le joueur puisse aller où il veut dès le début, s'éloignant de la linéarité habituelle de la série.;http://www.jeuxvideo.com/jeux/jeu-77113/;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Legend of Zelda : The Wind Waker sur NGC;['Action', 'Aventure', 'RPG'];Dans The Legend of Zelda : The Wind Waker, vous incarnez Link dans sa quête pour sauver sa sœur. Découvrez Hyrule sous les flots dans ce jeu d'aventure en style cartoon, et naviguez au dos du Lion Rouge en vous orientant grâce à la Baguette du Vent pour explorer toutes les îles de ce vaste océan et dévoiler les secrets et les donjons qu'elles renferment.;http://www.jeuxvideo.com/jeux/jeu-61569/;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Death Stranding;['Action'];Death Stranding est un jeu d'action dans lequel la mort fait partie intégrante du gameplay. La mort est un des thèmes principaux, et les développeurs ont fait en sorte que les joueurs ne la voient pas comme une fin. L'histoire s'annonce sombre dans cet univers futuriste et fantastique.;http://www.jeuxvideo.com/jeux/jeu-501371/;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Red Dead Redemption II;['Action', 'TPS', 'Aventure'];Suite du précédent volet multi récompensé, Red Dead Redemption II nous permet de nous replonger sur PS4 dans une ambiance western synonyme de vastes espaces sauvages et de villes malfamées. L'histoire se déroule en 1899, avant le premier Red Dead Redemption, au moment où Arthur Morgan doit fuir avec sa bande à la suite d'un braquage raté.;http://www.jeuxvideo.com/jeux/jeu-554033/;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Valkyria Chronicles 4;['Aventure'];Le continent imaginaire d'Europa est pris dans les flammes de la seconde guerre européenne entre la Fédération Atlantique et l'Alliance Impériale Autocratique de l'Est. Alors que la victoire semble de plus en plus compromise pour la Fédération, cette dernière lance l'Opération Croix du Nord. Le commandant Claude Wallace et ses amis d'enfance sont envoyés dans le cadre de cette opération... et vous de découvrir une terrible vérité.;http://www.jeuxvideo.com/jeux/jeu-748395/;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Okami HD;['Action', 'Aventure'];Okami est un jeu d'aventure et d'action sur Xbox One. Le titre dispose d'un aspect graphique très particulier, et vous propose d'incarner la déesse Amaterasu réincarnée en un magnifique loup blanc, dans une quête pour redonner de la vie et de la couleur dans votre monde, terrorisé par de nombreux ennemis qui font régner les ténèbres. Battez-vous au moyen d'un pinceau, véritable prolongement du personnage qu'on incarne, et utilisez-le également pour avancer dans l'histoire.;http://www.jeuxvideo.com/jeux/jeu-709711/;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Super Mario Odyssey sur Switch;['Plate-Forme'];Super Mario Odyssey est un jeu de plate-forme sur Switch où la princesse Peach a été enlevée par Bowser. Pour la sauver, Mario quitte le royaume Champignon à bord de l'Odyssey. Accompagné de Chappy, son chapeau vivant, il doit parcourir différents royaumes et faire tout pour vaincre, une nouvelle fois, le terrible Bowser.;http://www.jeuxvideo.com/jeux/switch/jeu-593682/;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Divinity : Original Sin II - Definitive Edition;['RPG'];Divinity : Original Sin II est un RPG où vous choisissez votre race et et votre background. Le monde réagit en fonction de vos choix. Rassemblez votre équipe et affrontez vos adversaires avec différents éléments de combat tactique au tour par tour. Explorez un vaste monde seul ou avec 4 joueurs en coopératif.;http://www.jeuxvideo.com/jeux/jeu-438512/;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zero Escape : The Nonary Games;['Aventure'];Zero Escape: The Nonary Games est un jeu d'aventure jouable en solo. Enlevées puis amenées dans un lieu inconnu, neuf personnes se retrouvent forcées de participer à un jeu diabolique orchestré par l’énigmatique Zero. Pourquoi ? A qui faire confiance ?;http://www.jeuxvideo.com/jeux/jeu-625331/;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
