x_col;y_col
CDI à temps complet .;non
CDI à temps complet ..;non
CDI à temps complet ...;non
CDI à temps complet ....;non
CDI à temps complet .....;non
CDI à temps complet .....;non
CDI à temps complet ......;non
CDI à temps complet .......;non
CDI à temps complet ........;non
CDI à temps complet .........;non
CDI à temps complet ..........;non
CDI à temps complet ...........;non
CDI à temps complet ............;non
CDI à temps complet .............;non
CDI à temps complet ..............;non
CDI à temps complet ...............;non
CDI à temps complet ................;non
CDI à temps complet .................;non
CDI à temps complet ..................;non
CDI à temps complet ...................;non
CDI à temps complet !.;non
CDI à temps complet !..;non
CDI à temps complet !...;non
CDI à temps complet !....;non
CDI à temps complet !.....;non
CDI à temps complet !.....;non
CDI à temps complet !......;non
CDI à temps complet !.......;non
CDI à temps complet !........;non
CDI à temps complet !.........;non
CDI à temps complet !..........;non
CDI à temps complet !...........;non
CDI à temps complet !............;non
CDI à temps complet !.............;non
CDI à temps complet !..............;non
CDI à temps complet !...............;non
CDI à temps complet !................;non
CDI à temps complet !.................;non
CDI à temps complet !..................;non
CDI à temps complet !...................;non
CDI à temps complet !.!;non
CDI à temps complet !..!;non
CDI à temps complet !...!;non
CDI à temps complet !....!;non
CDI à temps complet !.....!;non
CDI à temps complet !.....!;non
CDI à temps complet !......!;non
CDI à temps complet !.......!;non
CDI à temps complet !........!;non
CDI à temps complet !.........!;non
Vous disposez du permis .;oui
Vous disposez du permis ..;oui
Vous disposez du permis ...;oui
Vous disposez du permis ....;oui
Vous disposez du permis .....;oui
Vous disposez du permis .....;oui
Vous disposez du permis ......;oui
Vous disposez du permis .......;oui
Vous disposez du permis ........;oui
Vous disposez du permis .........;oui
Vous disposez du permis ..........;oui
Vous disposez du permis ...........;oui
Vous disposez du permis ............;oui
Vous disposez du permis .............;oui
Vous disposez du permis ..............;oui
Vous disposez du permis ...............;oui
Vous disposez du permis ................;oui
Vous disposez du permis .................;oui
Vous disposez du permis ..................;oui
Vous disposez du permis ...................;oui
Vous disposez du permis !.;oui
Vous disposez du permis !..;oui
Vous disposez du permis !...;oui
Vous disposez du permis !....;oui
Vous disposez du permis !.....;oui
Vous disposez du permis !.....;oui
Vous disposez du permis !......;oui
Vous disposez du permis !.......;oui
Vous disposez du permis !........;oui
Vous disposez du permis !.........;oui
Vous disposez du permis !..........;oui
Vous disposez du permis !...........;oui
Vous disposez du permis !............;oui
Vous disposez du permis !.............;oui
Vous disposez du permis !..............;oui
Vous disposez du permis !...............;oui
Vous disposez du permis !................;oui
Vous disposez du permis !.................;oui
Vous disposez du permis !..................;oui
Vous disposez du permis !...................;oui
Vous disposez du permis !.!;oui
Vous disposez du permis !..!;oui
Vous disposez du permis !...!;oui
Vous disposez du permis !....!;oui
Vous disposez du permis !.....!;oui
Vous disposez du permis !.....!;oui
Vous disposez du permis !......!;oui
Vous disposez du permis !.......!;oui
Vous disposez du permis !........!;oui
Vous disposez du permis !.........!;oui
Au départ du Domaine, vous êtes véhiculé par l'employeur. ;non
- L' Entretien du logement et la gestion du linge - Travail un weekend sur deux  - remboursement des frais kilométriques et du temps de déplacements selon CCSAP Permis B EXIGE et véhicule.;oui
" - Rédiger les annonces d'embauches et assurer leur communication sur les sites internet spécialisés, dans la presse, ou encore au sein de l'entreprise ;";non
Permis B, voiture & Casier judiciaire vierge sont exigés;oui
Permis B non exigé. ;non
Permis B non exigé. ;non
Pharmacien (H/F) obligatoire;non
Travail le samedi, permis B obligatoire.;oui
Travail le samedi, permis B obligatoire.;oui
Notre agence TERTIAIRE, recherche pour l'un de ses clients, une mutuelle, son Assistant de direction H/F pour un CDD de 6 mois (remplacement congé maternité).;non
A la recherche d'un emploi stable en CDI ou d'un complément de revenus ?;non
"Travail seul, de 21h00 à 7h00 ; permis B conseillé";oui
Permis véhicule léger exigé - Permis Poids lourd souhaité.;oui
Vous avez le permis C (pas de fimo exigée). ;oui
PERMIS B+VÉHICULE OU SCOOTER ou Vélo FORTEMENT CONSEILLE, l'entrepôt n'est pas desservi par les transports en commun.;oui
technicien preleveur echantillons H/F + permis B;oui
- Permis de conduire et véhicule personnel indispensables.;oui
Vous avez le permis ainsi que le véhicule, vous avez validé votre bac et avez une bonne maîtrise du pack office.;oui
Des produits innovants et une gamme en perpétuelle évolution ont permis à Adeva de maintenir une croissance à deux chiffres et ce malgré la crise.;non
personne sérieuse ayant le permis et une voiture pour récupérer 2 enfants à la sortie de l'école de St CYR sur le RHONE.;oui
permis b exigé mais véhicule non obligatoire.;oui
    Registre d'accessibilité obligatoire;non
Recrutement catégorie B par la voie contractuelle d'une personne handicapée . ;non
Une expérience d'au moins deux ans en B to B ou dans le milieu du Travail Temporaire est un plus !;non
Vous possédez idéalement un CAP maintenance des matériels option C ou d'une première expérience. ;non
Le permis PL ainsi que des notions de maçonnerie seraient un plus mais non indispensables.;oui
Vous avez le permis B.;oui
Vos missions, entre autres, consisteront à rédiger et saisir les mandats de gestion, gérer le dossier locataire, réceptionner et répondre aux demandes des propriétaires et locataires, préparer les dossiers de précontentieux et contentieux, etc.;non
CQP1 obligatoire;non
Type de contrat : CDD et CDI;non
- fortement souhaités (non exigé): le  PSC1, si permis B, de plus de 3ans,;oui
Etre expérimenté en garde d'enfants, permis B et véhiculé, avoir des références de gardes vérifiables (gardes chez des particuliers ou en structures : crèches, écoles, centres de loisirs);oui
Italien obligatoire;non
Permis BE et Caces (petits engins de chantier) sont un plus.;oui
- Pose équipements : accastilleur-monteur électronique, matériel de navigation...;non
Véhicule non-indispensable.;non
Vous possédez un CAP Maintenance des matériels / Parcs et Jardins (Formation motoculture/mécanique) et une expérience de 2 ans sur les produits de motoculture.;non
Permis B obligatoire - déplacements quotidiens (Véhicule de fonction fourni).;oui
- Vous avez un minimum d'outillage à mains et vos EPI.;non
Vous devez impérativement être titulaire du permis C (Fimo non obligatoire).;oui
Magasinier + permis B H/F;oui
Ce poste exige des déplacements sur le territoire national (tous frais payés);non
Technicien preleveur echantillons avec permis B (H/F);oui
Boulanger / Boulangère   - CDI - (H/F);non
vous avez une sensibilité numérique et une appétence pour les nouvelles technologies, vous aimez gérer et prendre en charge des projets, vous êtes titulaire du permis B obligatoirement car déplacements. ;oui
-      Lieu d'embauche : Villeneuve sur Lot (47300);non
Permis B indispensable et possédant une aisance dans la conduite d'engins. ;oui
Un(e) Chef d'équipe Mecanique -- En CDI;non
permis b + voiture sont incontournables pour vous déplacer entre les particuliers;oui
Vous devez posséder le permis car vous vous déplacez fréquemment en magasins. ;oui
- la tenue propre de votre poste;non
Avoir une expérience similaire d'au moins 3 ans dans le domaine viticole ou agricole.;non
- Vous êtes autonome sur ce poste et possédez votre outillage. ;non
Idéal pour un complément d'emploi, le véhicule n'est pas obligatoire.;non
 permis B demandé CDI de 80/90h.;oui
CV - carte d'identité - carte vitale - carte mutuelle - diplôme - caces - bulletin de salaire ou certificat de travail - Permis de conduire - justificatif de domicile - Rib;oui
Notre objectif commun est de participer à l'amélioration du quotidien des bénéficiaires.Vous travaillez en étroite collaboration avec l'agence, et à ce titre il est primordial d'être capable d'identifier et de repérer et signaler toute difficulté, afin de maintenir un suivi dans l'accompagnement.PROFIL :  Vous disposez obligatoirement d'un diplôme en carrières sanitaires et sociales, DEAVS, ASSP, AMP, BAC PRO SAPAT, Permis B et Véhicule nécessaires REMUNERATION : Selon diplôme + frais km + mutuelle + fond de logement;oui
Possibilité de reconduction du contrat et pérennisation.;non
Vous devrez leur donner à gouter , faire de l'aide aux devoirs ainsi que les accompagner aux activités extra scolaires.Vous aurez aussi en charge l'entretien du logement et du linge.Permis B et véhicule exigés . ;oui
Vous possédez votre propre moyen de locomotion, ainsi que votre propre boitier,;non
