col_1;col_2;y_col
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
-5;2;-3
-1;-1;-2
0;-8;-8
-2;2;0
2;3;5
-6;12;6
3;2;5
