x_col;y_col_1;y_col_2
CDI à temps complet .;0;0
CDI à temps complet ..;0;0
CDI à temps complet ...;0;0
CDI à temps complet ....;0;0
CDI à temps complet .....;0;0
CDI à temps complet .....;0;0
CDI à temps complet ......;0;0
CDI à temps complet .......;0;0
CDI à temps complet ........;0;0
CDI à temps complet .........;0;0
CDI à temps complet ..........;0;0
CDI à temps complet ...........;0;0
CDI à temps complet ............;0;0
CDI à temps complet .............;0;0
CDI à temps complet ..............;0;0
CDI à temps complet ...............;0;0
CDI à temps complet ................;0;0
CDI à temps complet .................;0;0
CDI à temps complet ..................;0;0
CDI à temps complet ...................;0;0
CDI à temps complet !.;0;0
CDI à temps complet !..;0;0
CDI à temps complet !...;0;0
CDI à temps complet !....;0;0
CDI à temps complet !.....;0;0
Vous disposez du permis .;1;0
Vous disposez du permis ..;1;0
Vous disposez du permis ...;1;0
Vous disposez du permis ....;1;0
Vous disposez du permis .....;1;0
Vous disposez du permis .....;1;0
Vous disposez du permis ......;1;0
Vous disposez du permis .......;1;0
Vous disposez du permis ........;1;0
Vous disposez du permis .........;1;0
Vous disposez du permis ..........;1;0
Vous disposez du permis ...........;1;0
Vous disposez du permis ............;1;0
Vous disposez du permis .............;1;0
Vous disposez du permis ..............;1;0
Vous disposez du permis ...............;1;0
Vous disposez du permis ................;1;0
Vous disposez du permis .................;1;0
Vous disposez du permis ..................;1;0
Vous disposez du permis ...................;1;0
Vous disposez du permis !.;1;0
Vous disposez du permis !..;1;0
Vous disposez du permis !...;1;0
Vous disposez du permis !....;1;0
Vous disposez du permis !.....;1;0
Le véhicule est nécessaire .;0;1
Le véhicule est nécessaire ..;0;1
Le véhicule est nécessaire ...;0;1
Le véhicule est nécessaire ....;0;1
Le véhicule est nécessaire .....;0;1
Le véhicule est nécessaire .....;0;1
Le véhicule est nécessaire ......;0;1
Le véhicule est nécessaire .......;0;1
Le véhicule est nécessaire ........;0;1
Le véhicule est nécessaire .........;0;1
Le véhicule est nécessaire ..........;0;1
Le véhicule est nécessaire ...........;0;1
Le véhicule est nécessaire ............;0;1
Le véhicule est nécessaire .............;0;1
Le véhicule est nécessaire ..............;0;1
Le véhicule est nécessaire ...............;0;1
Le véhicule est nécessaire ................;0;1
Le véhicule est nécessaire .................;0;1
Le véhicule est nécessaire ..................;0;1
Le véhicule est nécessaire ...................;0;1
Le véhicule est nécessaire !.;0;1
Le véhicule est nécessaire !..;0;1
Le véhicule est nécessaire !...;0;1
Le véhicule est nécessaire !....;0;1
Le véhicule est nécessaire !.....;0;1
Vous disposez du permis et le véhicule est nécessaire .;1;1
Vous disposez du permis et le véhicule est nécessaire ..;1;1
Vous disposez du permis et le véhicule est nécessaire ...;1;1
Vous disposez du permis et le véhicule est nécessaire ....;1;1
Vous disposez du permis et le véhicule est nécessaire .....;1;1
Vous disposez du permis et le véhicule est nécessaire .....;1;1
Vous disposez du permis et le véhicule est nécessaire ......;1;1
Vous disposez du permis et le véhicule est nécessaire .......;1;1
Vous disposez du permis et le véhicule est nécessaire ........;1;1
Vous disposez du permis et le véhicule est nécessaire .........;1;1
Vous disposez du permis et le véhicule est nécessaire ..........;1;1
Vous disposez du permis et le véhicule est nécessaire ...........;1;1
Vous disposez du permis et le véhicule est nécessaire ............;1;1
Vous disposez du permis et le véhicule est nécessaire .............;1;1
Vous disposez du permis et le véhicule est nécessaire ..............;1;1
Vous disposez du permis et le véhicule est nécessaire ...............;1;1
Vous disposez du permis et le véhicule est nécessaire ................;1;1
Vous disposez du permis et le véhicule est nécessaire .................;1;1
Vous disposez du permis et le véhicule est nécessaire ..................;1;1
Vous disposez du permis et le véhicule est nécessaire ...................;1;1
Vous disposez du permis et le véhicule est nécessaire !.;1;1
Vous disposez du permis et le véhicule est nécessaire !..;1;1
Vous disposez du permis et le véhicule est nécessaire !...;1;1
Vous disposez du permis et le véhicule est nécessaire !....;1;1
Vous disposez du permis et le véhicule est nécessaire !.....;1;1
Ce poste nécessite d'avoir avoir un véhicule.;0;1
Les prestations sont à réaliser sur Noisy le Grand et communes limitrophes.L' expérience est exigée sur un poste similaire.permis b et véhicule fortement souhaité.;1;1
- Equipements fournis par l 'employeur (sauf chaussures de sécurité);0;0
Vous devez posséder permis CE, FIMO, CACES R389 1-3-5;1;0
Vous devez avoir votre propre véhicule;0;1
Vous possédez une vision générale de l'en-cours des forces itinérantes et vous renseignez le client sur la prise en charge de l'intervention ou de la réception/réparation du matériel. ;0;0
-	Matériel de sanglage (jusqu'à 20t);0;0
Véhicule et téléphone professionnel;0;0
Travail en hauteur sur une nacelle, recherchons des poseurs ayant le permis de conduire pour se rendre sur le chantier.lecture de plans souhaité. ;1;0
Transport du matériel dans votre véhicule.;0;0
 - Le permis de conduire n'est pas obligatoire;0;0
Véhicule et permis B souhaités.;1;1
 Vous habitez  la région ouest de préférence  et êtes véhiculé.;0;1
Permis B et véhicule indispensables pour se rendre sur les chantiers;1;1
L'agence d'emploi (CDI, intérim et formation) Temporis Bordeaux rive droite (33100) recherche pour un de ses clients un «électricien N2/N3 avec CACES nacelle 3B» H/F : tirage de câble, raccordement de boîte de dérivation, pose de chemin de câble.;0;0
Différentes formations sont prévues (initiale 2 jours, continue, en ligne, terrain) et dispensées par nos experts. ;0;0
- Assure l'assemblage des flexibles en respectant le cahier des charges du client (tronçonnage, montage, sertissage, dénudage, marquage des jupes).;0;0
Permis B et véhicule appréciés;1;1
Vous possédez le permis et un véhicule.;1;1
Vous devrez posséder le matériel et les outils nécessaires pour ces travaux.;0;0
Rejoignez notre équipe conviviale Permis B impératif.Possibilité de faire nettoyage si qualifié et motivé. ;1;0
Le CDSSR recherche un(e) intervenant(e) véhiculé(e) pour effectuer des trajets école-domicile sur Bayonne (64) pour un enfant de 10 ans les 11, 12, 18, 19 et 25 Juin à 8h25 le matin à 8h et 16h20 le soir (19h30 pour les mardis). ;0;1
Profil : Zone Longue (découché à la semaine) avec expériences de 2 ans minimum et documents obligatoires à jour (Permis, FCO, Carte conducteur ) La connaissance du transport sous température dirigée et/ou industriel est exigée.;1;0
Permis B + véhicule (indemnisation kilométrique)  : L'ADMR vous propose un emploi au plus prés de chez vous. ;1;1
Cette mission est à pourvoir en CDI de 30 heures par semaine avec des interventions de nuits et en journée.;0;0
- Vous détenez le permis EB remorque.;1;0
Contrat en CDD d'une durée de 9 jours de 35h/semaine sur Gignac dès que possible.;0;0
recherche urgent employé(e)s de maison avec expérience pour prestations de ménage et/ou repassage au domicile de nos clients sur Cannes et alantours// salaire 9 à 10 euro net /heure/ véhicule souhaité mais non obligatoire. ;0;1
Excelliance recrute pour son client sur le marché de l'informatique et des télécoms, un commercial B to B. ;0;0
Permis b nécessaire pour cette offre.;1;0
Profils : permis b indispensable, autonomie, rigueur, aisance manuelle, sens du client,;1;0
Nous recrutons un agent d'entretien,  VÉHICULÉ pour 4h hebdomadaires au sein de bureaux administratifs sur MONTEREAU SUR LE JARD (7km de Melun).;0;1
- Le stockage en raque,;0;0
Maçon / Maçonne;0;0
Mission intérimaire de plusieurs mois ou CDI;0;0
Temps partiel 110h en CDD (possible CDI et évolution du nombre d'heure selon souhaits de chacun);0;0
Responsable Contrôle Qualité (H/F) CDI;0;0
*** Perspectives de CDI au sein de l'établissement***;0;0
Poste en CDI - Permis de conduire et véhicule indispensables  - PC et connaissances informatiques;1;1
Véhicule indispensable avec défraiement.;0;1
Contrat du 23 au 29 avril avec possibilité de renouvellement - Horaires : 3h00 -09h30 Véhicule + Permis B obligatoire;1;1
CDD 6 mois renouvelable à pourvoir dès que possible;0;0
Amplitude horaire 08h30-20h00, véhicule fortement conseillé car site mal desservi par les transports en commun.;0;1
Vous travaillez sous la direction du responsable de salle.Situé en zone commerciale, véhicule obligatoire;0;1
Vous devez impérativement être véhiculé et vous interviendrez sur le planning suivant : lundis, jeudis de 16h45 à 18h45 et les mardis de 16h45 à 18h15.;0;1
Ce poste est à pourvoir en CDI, dès que possible, à Aix en Provence.;0;0
Et vous possédez les habilitations;0;0
Il s'agit d'un contrat CDI ou CDD selon votre choix.;0;0
Permis B+ véhicule pour se rendre au domicile des particuliers;1;1
Permis de conduire, habilitation à la conduite de tracteur.;1;0
 Vous êtes chauffeur PL (H/F) avec FIMO/FCO et carte conducteur en cours de validité, vous êtes expérimenté.;0;0
