x_col;y_col_1;y_col_2
Poste à pourvoir immédiatement en CDD de 6 mois.;none;0
Pour une mission intérim à saisir dès que possible sur une durée de 1 mois renouvelable.;none;0
EXPÉRIENCES ET FORMATIONS REQUISES Vous possédez une expérience à ce poste ou une expérience similaire. ;none;0
aquila RH acteur du recrutement en CDI-CDD et intérim dans les secteurs du transport et la logistique, le bâtiment et travaux publics, le tertiaire et commerce, l'industrie et la maintenance.;none;0
Poste à pourvoir en CDD de 35h suivant un planning bien défini nécessitant l'obtention du permis et d'un véhicule. ;both;0
L'employeur met en place toutes les mesures sanitaires (gants, masques, gel hydroalcoolique..) afin de préserver la sécurité de ses employés.;none;0
Un CDD de 3 mois sera établi dans un premier temps.;none;1
Vous êtes diplômé(e) aide-soignant(e) ou AMP, vous aimez le travail en autonomie au sein d'une équipe, vous possédez votre permis de conduire, vous avez un sens du relationnel bien développé et appréciez de travailler auprès des personnes âgées. ;a;0
Permis C, FIMO et carte conducteur à jour obligatoires.;a;0
Contrat en CDD pouvant déboucher sur un contrat pérenne.;none;1
L'agence BPS INTERIM recherche pour l'un de ses clients au vue d'une embauche en CDI un(e) vendeur matelas.;none;0
Venez rencontrer l'employeur lors du forum de Chapareillan, le vendredi 12 avril, de 9h à 12h, dans la salle polyvalente de la commune située rue des écoliers. ;none;0
Poste à pourvoir rapidement sur Bressuire en contrat de travail temporaire avec perspective de CDI.Horaires en 2X8 (du lundi au vendredi) et 35h/semaine. ;none;1
Poste proposé en CDD de quatre mois ou en CDI.;none;1
Vous avez un véhicule.;b;0
Chauffeur / Chauffeuse PL  - avec formation SPL (permis CE) (H/F);a;0
Vous travaillerez du Lundi au vendredi alternativement sur Ris-Orangis et Savigny-sur-Orge (une voiture est donc fortement recommandée).;b;0
Pas desservi, véhicule indispensable, accès par autoroute (non payant).;b;0
RECHERCHE CHAUFFEUR PERMIS EC POUR DE LA DISTRIBUTION DE JOUR EN SEMI. ;none;0
Maîtrise LGPI de préférence. ;none;0
Une période de formation pratique sur les spécificités de nos équipements est a prévoir.;none;0
PERMIS B ET VÉHICULE EXIGE;both;0
 	Manutention des lots avant ou après triage;none;0
Recherche électricien N2 avec nacelle 3 B pour remplacer des éclairages;none;0
- Véhicule souhaité pour faciliter l'accès au site pendant les horaires de nuit ou week-end.;b;0
Avoir obligatoirement le permis SPL et motos afin de bien maîtriser le chargement et la manipulation des motos;none;0
Poste à pourvoir en CDI à l'issue de la validation d'une formation de 6 semaines.;none;1
