col_1;col_2;y_col
-5;2;a
-10;-5;both
0;-8;b
-2;2;a
2;3;none
-6;12;a
3;2;none
-7;3;a
-12;-3;both
5;-6;b
-5;12;a
12;6;none
-8;4;a
5;4;none
-5;2;a
-10;-5;both
0;-8;b
-2;2;a
2;3;none
-6;12;a
3;2;none
-7;3;a
-12;-3;both
5;-6;b
-5;12;a
12;6;none
-8;4;a
5;4;none
-5;2;a
-10;-5;both
0;-8;b
-2;2;a
2;3;none
-6;12;a
3;2;none
-7;3;a
-12;-3;both
5;-6;b
-5;12;a
12;6;none
-8;4;a
5;4;none
-5;2;a
-10;-5;both
0;-8;b
-2;2;a
2;3;none
-6;12;a
3;2;none
-7;3;a
-12;-3;both
5;-6;b
-5;12;a
12;6;none
-8;4;a
5;4;none
-5;2;a
-10;-5;both
0;-8;b
-2;2;a
2;3;none
-6;12;a
3;2;none
-7;3;a
-12;-3;both
5;-6;b
-5;12;a
12;6;none
-8;4;a
5;4;none
-5;2;a
-10;-5;both
0;-8;b
-2;2;a
2;3;none
-6;12;a
3;2;none
-7;3;a
-12;-3;both
5;-6;b
-5;12;a
12;6;none
-8;4;a
5;4;none
-5;2;a
-10;-5;both
0;-8;b
-2;2;a
2;3;none
-6;12;a
3;2;none
-7;3;a
-12;-3;both
5;-6;b
-5;12;a
12;6;none
-8;4;a
5;4;none
-5;2;a
-10;-5;both
0;-8;b
-2;2;a
2;3;none
-6;12;a
3;2;none
-7;3;a
-12;-3;both
5;-6;b
-5;12;a
12;6;none
-8;4;a
5;4;none
-5;2;a
-10;-5;both
0;-8;b
-2;2;a
2;3;none
-6;12;a
3;2;none
-7;3;a
-12;-3;both
5;-6;b
-5;12;a
12;6;none
-8;4;a
5;4;none
-5;2;a
-10;-5;both
0;-8;b
-2;2;a
2;3;none
-6;12;a
3;2;none
-7;3;a
-12;-3;both
5;-6;b
-5;12;a
12;6;none
-8;4;a
5;4;none
-5;2;a
-10;-5;both
0;-8;b
-2;2;a
2;3;none
-6;12;a
3;2;none
-7;3;a
-12;-3;both
5;-6;b
-5;12;a
12;6;none
-8;4;a
5;4;none
-5;2;a
-10;-5;both
0;-8;b
-2;2;a
2;3;none
-6;12;a
3;2;none
-7;3;a
-12;-3;both
5;-6;b
-5;12;a
12;6;none
-8;4;a
5;4;none
-5;2;a
-10;-5;both
0;-8;b
-2;2;a
2;3;none
-6;12;a
3;2;none
-7;3;a
-12;-3;both
5;-6;b
-5;12;a
12;6;none
-8;4;a
5;4;none
-5;2;a
-10;-5;both
0;-8;b
-2;2;a
2;3;none
-6;12;a
3;2;none
-7;3;a
-12;-3;both
5;-6;b
-5;12;a
12;6;none
-8;4;a
5;4;none
-5;2;a
-10;-5;both
0;-8;b
-2;2;a
2;3;none
-6;12;a
3;2;none
-7;3;a
-12;-3;both
5;-6;b
-5;12;a
12;6;none
-8;4;a
5;4;none
